"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"1691","07027003-A017","07","Chiapas","027","Chiapa de Corzo","003-A","017","347",390.8887
"1692","07059068-8004","07","Chiapas","059","Ocosingo","068-8","004","117",2550.3837
"1693","07051007-3017","07","Chiapas","051","Mapastepec","007-3","017","12",151.6586
"1694","07069004-4028","07","Chiapas","069","Pijijiapan","004-4","028","1",83.549
"1695","07081005-3022","07","Chiapas","081","Simojovel","005-3","022","495",341.5511
"1696","07089023-A030","07","Chiapas","089","Tapachula","023-A","030","63",39.8336
"1697","07057006-2034","07","Chiapas","057","Motozintla","006-2","034","33",31.5109
"1698","07089024-4049","07","Chiapas","089","Tapachula","024-4","049","55",29.3199
"1699","07059077-7001","07","Chiapas","059","Ocosingo","077-7","001","6",12842.8602
"1700","07008003-4002","07","Chiapas","008","Angel Albino Corzo","003-4","002","147",3745.0106
"1701","07065012-A004","07","Chiapas","065","Palenque","012-A","004","4",570.2167
"1702","07020003-9002","07","Chiapas","020","La Concordia","003-9","002","5",684.1248
"1703","07006003-A003","07","Chiapas","006","Amatenango de la Frontera","003-A","003","437",952.5293
"1704","07017010-3003","07","Chiapas","017","Cintalapa","010-3","003","151",2658.5023
"1705","07030009-2005","07","Chiapas","030","Chicomuselo","009-2","005","17",257.2743
"1706","07059081-3003","07","Chiapas","059","Ocosingo","081-3","003","13",2302.8173
"1707","07097011-9003","07","Chiapas","097","Tonalá","011-9","003","5",412.797
"1708","07104002-6003","07","Chiapas","104","Tzimol","002-6","003","1553",3763.6642
"1709","07106013-9003","07","Chiapas","106","Venustiano Carranza","013-9","003","142",72.3232
"1710","07107006-6010","07","Chiapas","107","Villa Corzo","006-6","010","4",15.8076
"1711","07017023-0004","07","Chiapas","017","Cintalapa","023-0","004","13",880.9194
"1712","07020023-6012","07","Chiapas","020","La Concordia","023-6","012","8",117.3317
"1713","07052034-8004","07","Chiapas","052","Las Margaritas","034-8","004","118",4862.4342
"1714","07096013-0004","07","Chiapas","096","Tila","013-0","004","7",43.1725
"1715","07092015-0005","07","Chiapas","092","Tecpatán","015-0","005","14",782.6862
"1716","07016011-0024","07","Chiapas","016","Catazajá","011-0","024","5",472.8289
"1717","07031010-2006","07","Chiapas","031","Chilón","010-2","006","733",1041.2291
"1718","07046012-4006","07","Chiapas","046","Jiquipilas","012-4","006","27",876.9103
"1719","07078001-A006","07","Chiapas","078","San Cristóbal de las Casas","001-A","006","48",200.928
"1720","07089030-A006","07","Chiapas","089","Tapachula","030-A","006","4",561.2243
"1721","07031008-5001","07","Chiapas","031","Chilón","008-5","001","63",4188.3534
"1722","07013007-2003","07","Chiapas","013","Bochil","007-2","003","23",411.919
"1723","07020014-7007","07","Chiapas","020","La Concordia","014-7","007","141",3075.8168
"1724","07061005-0006","07","Chiapas","061","Ocozocoautla de Espinosa","005-0","006","22",216.9051
"1725","07107014-0007","07","Chiapas","107","Villa Corzo","014-0","007","13",686.9277
"1726","07017015-6009","07","Chiapas","017","Cintalapa","015-6","009","14",370.3294
"1727","07069004-4009","07","Chiapas","069","Pijijiapan","004-4","009","13",558.2549
"1728","07059062-0001","07","Chiapas","059","Ocosingo","062-0","001","6",5553.4572
"1729","07065013-4013","07","Chiapas","065","Palenque","013-4","013","30",553.3126
