"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"4951","07053001-0005","07","Chiapas","053","Mazapa de Madero","001-0","005","40",5.464
"4952","07052031-4006","07","Chiapas","052","Las Margaritas","031-4","006","213",2985.0033
"4953","07027012-9005","07","Chiapas","027","Chiapa de Corzo","012-9","005","179",560.6215
"4954","07052018-9006","07","Chiapas","052","Las Margaritas","018-9","006","203",408.6593
"4955","07047003-2007","07","Chiapas","047","Jitotol","003-2","007","7",2.7116
"4956","07082002-7006","07","Chiapas","082","Sitalá","002-7","006","9",383.2216
"4957","07034009-1007","07","Chiapas","034","Frontera Comalapa","009-1","007","7",101.0885
"4958","07047002-8036","07","Chiapas","047","Jitotol","002-8","036","1",20.9724
"4959","07069009-7008","07","Chiapas","069","Pijijiapan","009-7","008","29",626.8405
"4960","07069015-2011","07","Chiapas","069","Pijijiapan","015-2","011","101",411.9507
"4961","07108010-A008","07","Chiapas","108","Villaflores","010-A","008","53",232.1694
"4962","07077014-A013","07","Chiapas","077","Salto de Agua","014-A","013","6",102.657
"4963","07084001-7009","07","Chiapas","084","Solosuchiapa","001-7","009","46",1274.4384
"4964","07069002-5017","07","Chiapas","069","Pijijiapan","002-5","017","3",238.5955
"4965","07062002-4010","07","Chiapas","062","Ostuacán","002-4","010","54",808.9848
"4966","07061006-5002","07","Chiapas","061","Ocozocoautla de Espinosa","006-5","002","19",8056.5377
"4967","07061013-5017","07","Chiapas","061","Ocozocoautla de Espinosa","013-5","017","81",163.1867
"4968","07068006-6013","07","Chiapas","068","Pichucalco","006-6","013","11",1210.831
"4969","07083004-3013","07","Chiapas","083","Socoltenango","004-3","013","20",33.4112
"4970","07017016-0014","07","Chiapas","017","Cintalapa","016-0","014","1",452.2396
"4971","07059041-9014","07","Chiapas","059","Ocosingo","041-9","014","76",306.7816
"4972","07089022-5024","07","Chiapas","089","Tapachula","022-5","024","5",4.4939
"4973","07040006-5015","07","Chiapas","040","Huixtla","006-5","015","81",749.8737
"4974","07068008-5015","07","Chiapas","068","Pichucalco","008-5","015","18",165.18
"4975","07051007-3018","07","Chiapas","051","Mapastepec","007-3","018","9",403.9832
"4976","07077002-7025","07","Chiapas","077","Salto de Agua","002-7","025","12",64.4614
"4977","07089028-2018","07","Chiapas","089","Tapachula","028-2","018","36",710.7335
"4978","07018001-1004","07","Chiapas","018","Coapilla","001-1","004","56",318.7168
"4979","07003006-1007","07","Chiapas","003","Acapetahua","006-1","007","41",638.2316
"4980","07008003-4019","07","Chiapas","008","Angel Albino Corzo","003-4","019","4",317.6248
"4981","07027007-8019","07","Chiapas","027","Chiapa de Corzo","007-8","019","7",736.7692
"4982","07057004-3021","07","Chiapas","057","Motozintla","004-3","021","31",495.3321
"4983","07062001-A021","07","Chiapas","062","Ostuacán","001-A","021","23",96.9392
"4984","07118002-1021","07","Chiapas","118","San Andrés Duraznal","002-1","021","258",84.753
"4985","07107012-1004","07","Chiapas","107","Villa Corzo","012-1","004","14",388.5598
"4986","07013003-4023","07","Chiapas","013","Bochil","003-4","023","56",81.4816
"4987","07051012-4023","07","Chiapas","051","Mapastepec","012-4","023","4",613.305
"4988","07069011-4035","07","Chiapas","069","Pijijiapan","011-4","035","21",192.5939
"4989","07069007-8002","07","Chiapas","069","Pijijiapan","007-8","002","69",5772.2572
"4990","07072004-A002","07","Chiapas","072","Pueblo Nuevo Solistahuacán","004-A","002","450",1173.0978
"4991","07031019-3007","07","Chiapas","031","Chilón","019-3","007","22",30.1777
"4992","07080004-1003","07","Chiapas","080","Siltepec","004-1","003","172",3577.4148
"4993","07099016-6005","07","Chiapas","099","La Trinitaria","016-6","005","137",823.8934
"4994","07108023-7005","07","Chiapas","108","Villaflores","023-7","005","65",686.6749
"4995","07107028-2008","07","Chiapas","107","Villa Corzo","028-2","008","9",5428.6326
"4996","07020007-7006","07","Chiapas","020","La Concordia","007-7","006","1",894.49
"4997","07046011-A015","07","Chiapas","046","Jiquipilas","011-A","015","14",964.2601
"4998","07077007-A006","07","Chiapas","077","Salto de Agua","007-A","006","227",1474.9836
"4999","07044003-0007","07","Chiapas","044","Ixtapa","003-0","007","58",465.2315
"5000","07051007-3016","07","Chiapas","051","Mapastepec","007-3","016","14",98.3198
"5001","07061021-A007","07","Chiapas","061","Ocozocoautla de Espinosa","021-A","007","16",2028.9245
"5002","07003006-1009","07","Chiapas","003","Acapetahua","006-1","009","17",590.8752
"5003","07061012-0015","07","Chiapas","061","Ocozocoautla de Espinosa","012-0","015","1",146.2443
"5004","07098002-7009","07","Chiapas","098","Totolapa","002-7","009","46",507.1553
"5005","07054004-1019","07","Chiapas","054","Mazatán","004-1","019","10",39.765
"5006","07001003-3010","07","Chiapas","001","Acacoyagua","003-3","010","17",252.344
"5007","07089023-A015","07","Chiapas","089","Tapachula","023-A","015","34",164.6484
"5008","07061013-5011","07","Chiapas","061","Ocozocoautla de Espinosa","013-5","011","3",416.873
"5009","07108009-7020","07","Chiapas","108","Villaflores","009-7","020","25",173.397
"5010","07089026-3014","07","Chiapas","089","Tapachula","026-3","014","18",47.3255
"5011","07097006-8019","07","Chiapas","097","Tonalá","006-8","019","63",290.9987
"5012","07054006-0022","07","Chiapas","054","Mazatán","006-0","022","11",57.2753
"5013","07047001-3001","07","Chiapas","047","Jitotol","001-3","001","146",738.6919
"5014","07016003-6001","07","Chiapas","016","Catazajá","003-6","001","19",1064.2421
"5015","07059105-0001","07","Chiapas","059","Ocosingo","105-0","001","1",9762.711
"5016","07065007-9002","07","Chiapas","065","Palenque","007-9","002","132",2868.0537
"5017","07020019-A021","07","Chiapas","020","La Concordia","019-A","021","20",59.9673
"5018","07047002-8043","07","Chiapas","047","Jitotol","002-8","043","35",30.0468
"5019","07059029-8003","07","Chiapas","059","Ocosingo","029-8","003","406",2237.1014
"5020","07078009-6003","07","Chiapas","078","San Cristóbal de las Casas","009-6","003","24",31.3176
"5021","07028002-2004","07","Chiapas","028","Chiapilla","002-2","004","38",482.7121
"5022","07108022-2004","07","Chiapas","108","Villaflores","022-2","004","8",747.1618
"5023","07064005-2006","07","Chiapas","064","Oxchuc","005-2","006","276",8444.8272
"5024","07020003-9007","07","Chiapas","020","La Concordia","003-9","007","397",2736.3784
"5025","07027003-A007","07","Chiapas","027","Chiapa de Corzo","003-A","007","495",497.1538
"5026","07059025-A008","07","Chiapas","059","Ocosingo","025-A","008","119",1169.5434
"5027","07065019-1008","07","Chiapas","065","Palenque","019-1","008","541",2155.2664
"5028","07093003-5008","07","Chiapas","093","Tenejapa","003-5","008","233",338.7757
"5029","07004003-5009","07","Chiapas","004","Altamirano","003-5","009","47",235.7285
"5030","07048005-9010","07","Chiapas","048","Juárez","005-9","010","8",651.3457
"5031","07079004-0011","07","Chiapas","079","San Fernando","004-0","011","14",503.3274
"5032","07099010-9026","07","Chiapas","099","La Trinitaria","010-9","026","30",11.745
"5033","07099023-6011","07","Chiapas","099","La Trinitaria","023-6","011","40",38.6747
"5034","07099015-1012","07","Chiapas","099","La Trinitaria","015-1","012","58",338.2088
"5035","07104005-A001","07","Chiapas","104","Tzimol","005-A","001","7",510.0617
"5036","07092005-7013","07","Chiapas","092","Tecpatán","005-7","013","385",3433.127
"5037","07107011-7016","07","Chiapas","107","Villa Corzo","011-7","016","24",622.8894
"5038","07108017-1016","07","Chiapas","108","Villaflores","017-1","016","24",203.3856
"5039","07072003-5021","07","Chiapas","072","Pueblo Nuevo Solistahuacán","003-5","021","142",169.5742
"5040","07081003-4021","07","Chiapas","081","Simojovel","003-4","021","1",15.9276
"5041","07072004-A027","07","Chiapas","072","Pueblo Nuevo Solistahuacán","004-A","027","1",37.039
"5042","07117003-9002","07","Chiapas","117","Montecristo de Guerrero","003-9","002","42",341.7078
"5043","07059120-5001","07","Chiapas","059","Ocosingo","120-5","001","1",3504.451
"5044","07052034-8002","07","Chiapas","052","Las Margaritas","034-8","002","7",319.0458
"5045","07037004-0002","07","Chiapas","037","Huehuetán","004-0","002","54",1055.9773
"5046","07072003-5004","07","Chiapas","072","Pueblo Nuevo Solistahuacán","003-5","004","3",91.2303
"5047","07069003-A003","07","Chiapas","069","Pijijiapan","003-A","003","5",755.1565
"5048","07069003-A004","07","Chiapas","069","Pijijiapan","003-A","004","14",2058.4374
"5049","07017007-1005","07","Chiapas","017","Cintalapa","007-1","005","2",1896.5597
"5050","07009009-9005","07","Chiapas","009","Arriaga","009-9","005","146",819.4659
"5051","07106009-2006","07","Chiapas","106","Venustiano Carranza","009-2","006","63",836.3313
"5052","07039005-A005","07","Chiapas","039","Huitiupán","005-A","005","449",829.2422
"5053","07092011-2011","07","Chiapas","092","Tecpatán","011-2","011","8",165.2176
"5054","07099007-7003","07","Chiapas","099","La Trinitaria","007-7","003","240",703.4418
"5055","07106006-9005","07","Chiapas","106","Venustiano Carranza","006-9","005","89",1279.2631
"5056","07052029-7006","07","Chiapas","052","Las Margaritas","029-7","006","26",924.0069
"5057","07049002-2007","07","Chiapas","049","Larráinzar","002-2","007","1833",3872.2125
"5058","07061007-A007","07","Chiapas","061","Ocozocoautla de Espinosa","007-A","007","21",512.6895
"5059","07107016-A007","07","Chiapas","107","Villa Corzo","016-A","007","9",41.5438
"5060","07027006-3008","07","Chiapas","027","Chiapa de Corzo","006-3","008","29",176.7343
"5061","07020011-3005","07","Chiapas","020","La Concordia","011-3","005","510",3086.9627
"5062","07048003-A008","07","Chiapas","048","Juárez","003-A","008","14",659.6981
"5063","07016011-0014","07","Chiapas","016","Catazajá","011-0","014","1",217.7798
"5064","07059020-7008","07","Chiapas","059","Ocosingo","020-7","008","26",972.01
"5065","07109003-7008","07","Chiapas","109","Yajalón","003-7","008","40",66.7447
"5066","07016011-0010","07","Chiapas","016","Catazajá","011-0","010","38",535.4092
"5067","07057003-9010","07","Chiapas","057","Motozintla","003-9","010","13",192.7611
"5068","07075004-1010","07","Chiapas","075","Las Rosas","004-1","010","196",108.832
"5069","07016003-6012","07","Chiapas","016","Catazajá","003-6","012","52",265.1825
"5070","07005005-1011","07","Chiapas","005","Amatán","005-1","011","307",981.5087
"5071","07020018-5011","07","Chiapas","020","La Concordia","018-5","011","11",771.7553
"5072","07101049-0012","07","Chiapas","101","Tuxtla Gutiérrez","049-0","012","5",9.2535
"5073","07107017-4013","07","Chiapas","107","Villa Corzo","017-4","013","18",950.5733
"5074","07076001-5012","07","Chiapas","076","Sabanilla","001-5","012","15",65.6625
"5075","07061008-4015","07","Chiapas","061","Ocozocoautla de Espinosa","008-4","015","13",578.9045
"5076","07081004-9024","07","Chiapas","081","Simojovel","004-9","024","30",257.355
"5077","07071003-8018","07","Chiapas","071","Villa Comaltitlán","003-8","018","12",633.6527
"5078","07061012-0025","07","Chiapas","061","Ocozocoautla de Espinosa","012-0","025","72",162.6793
"5079","07101049-0026","07","Chiapas","101","Tuxtla Gutiérrez","049-0","026","6",3.4504
"5080","07089029-7022","07","Chiapas","089","Tapachula","029-7","022","26",819.2243
"5081","07030008-8023","07","Chiapas","030","Chicomuselo","008-8","023","17",68.6409
"5082","07039005-A038","07","Chiapas","039","Huitiupán","005-A","038","47",48.6153
"5083","07107025-9010","07","Chiapas","107","Villa Corzo","025-9","010","85",1566.6435
"5084","07068008-5001","07","Chiapas","068","Pichucalco","008-5","001","17",795.3585
"5085","07017021-1002","07","Chiapas","017","Cintalapa","021-1","002","12",838.668
"5086","07078012-8002","07","Chiapas","078","San Cristóbal de las Casas","012-8","002","18",562.5054
"5087","07051012-4008","07","Chiapas","051","Mapastepec","012-4","008","9",536.9507
"5088","07027008-2003","07","Chiapas","027","Chiapa de Corzo","008-2","003","36",179.3114
"5089","07013004-9008","07","Chiapas","013","Bochil","004-9","008","202",849.2961
"5090","07077003-1005","07","Chiapas","077","Salto de Agua","003-1","005","91",1134.8235
"5091","07024003-8006","07","Chiapas","024","Chanal","003-8","006","3",18.3588
"5092","07065020-4005","07","Chiapas","065","Palenque","020-4","005","50",763.9481
"5093","07034008-7007","07","Chiapas","034","Frontera Comalapa","008-7","007","131",291.3213
"5094","07017025-A008","07","Chiapas","017","Cintalapa","025-A","008","13",1565.2902
"5095","07065020-4008","07","Chiapas","065","Palenque","020-4","008","64",1352.9291
"5096","07074003-A008","07","Chiapas","074","Reforma","003-A","008","2",247.5563
"5097","07069024-1011","07","Chiapas","069","Pijijiapan","024-1","011","34",496.6526
"5098","07069004-4005","07","Chiapas","069","Pijijiapan","004-4","005","11",181.044
"5099","07077005-0019","07","Chiapas","077","Salto de Agua","005-0","019","151",840.3803
"5100","07065025-7006","07","Chiapas","065","Palenque","025-7","006","56",112.0132
"5101","07040005-0014","07","Chiapas","040","Huixtla","005-0","014","399",1671.7822
"5102","07104003-0016","07","Chiapas","104","Tzimol","003-0","016","67",1413.9203
"5103","07117003-9001","07","Chiapas","117","Montecristo de Guerrero","003-9","001","24",57.6288
"5104","07097008-7008","07","Chiapas","097","Tonalá","008-7","008","3",660.8449
"5105","07019014-6018","07","Chiapas","019","Comitán de Domínguez","014-6","018","69",1198.7222
"5106","07094004-7020","07","Chiapas","094","Teopisca","004-7","020","111",70.7479
"5107","07052025-9023","07","Chiapas","052","Las Margaritas","025-9","023","24",15.744
"5108","07031002-8001","07","Chiapas","031","Chilón","002-8","001","1",378.6993
"5109","07069012-9009","07","Chiapas","069","Pijijiapan","012-9","009","1",983.9372
"5110","07108015-2008","07","Chiapas","108","Villaflores","015-2","008","75",307.0044
"5111","07045001-9001","07","Chiapas","045","Ixtapangajoya","001-9","001","63",446.6407
"5112","07065024-2001","07","Chiapas","065","Palenque","024-2","001","199",3595.3933
"5113","07020011-3009","07","Chiapas","020","La Concordia","011-3","009","23",247.9031
"5114","07001003-3021","07","Chiapas","001","Acacoyagua","003-3","021","25",119.1775
"5115","07009006-5002","07","Chiapas","009","Arriaga","006-5","002","68",342.3601
"5116","07065010-0005","07","Chiapas","065","Palenque","010-0","005","9",1688.5576
"5117","07009006-5004","07","Chiapas","009","Arriaga","006-5","004","22",1086.9857
"5118","07061020-5004","07","Chiapas","061","Ocozocoautla de Espinosa","020-5","004","25",709.1407
"5119","07017016-0012","07","Chiapas","017","Cintalapa","016-0","012","1",379.0185
"5120","07106011-A004","07","Chiapas","106","Venustiano Carranza","011-A","004","485",2501.9944
"5121","07001004-8009","07","Chiapas","001","Acacoyagua","004-8","009","32",348.0657
"5122","07014001-2009","07","Chiapas","014","El Bosque","001-2","009","76",32.8844
"5123","07009021-A014","07","Chiapas","009","Arriaga","021-A","014","5",487.6223
"5124","07069024-1009","07","Chiapas","069","Pijijiapan","024-1","009","6",60.8963
"5125","07078012-8009","07","Chiapas","078","San Cristóbal de las Casas","012-8","009","1",13.5552
"5126","07083002-4009","07","Chiapas","083","Socoltenango","002-4","009","22",91.5694
"5127","07017027-9012","07","Chiapas","017","Cintalapa","027-9","012","6",747.8902
"5128","07068005-1010","07","Chiapas","068","Pichucalco","005-1","010","19",349.5407
"5129","07009021-A012","07","Chiapas","009","Arriaga","021-A","012","91",550.17
"5130","07014001-2011","07","Chiapas","014","El Bosque","001-2","011","38",689.5214
"5131","07087002-3011","07","Chiapas","087","Suchiate","002-3","011","65",1335.1685
"5132","07089026-3011","07","Chiapas","089","Tapachula","026-3","011","13",5.1883
"5133","07034004-9012","07","Chiapas","034","Frontera Comalapa","004-9","012","117",402.0062
"5134","07034005-3020","07","Chiapas","034","Frontera Comalapa","005-3","020","35",77.5741
"5135","07008007-2009","07","Chiapas","008","Angel Albino Corzo","007-2","009","81",727.4124
"5136","07044002-6012","07","Chiapas","044","Ixtapa","002-6","012","92",361.7348
"5137","07059058-4001","07","Chiapas","059","Ocosingo","058-4","001","111",4397.5202
"5138","07013004-9013","07","Chiapas","013","Bochil","004-9","013","38",173.6808
"5139","07059034-9020","07","Chiapas","059","Ocosingo","034-9","020","24",484.3148
"5140","07017018-A013","07","Chiapas","017","Cintalapa","018-A","013","14",609.14
"5141","07031016-A001","07","Chiapas","031","Chilón","016-A","001","1",14622.7145
"5142","07069007-8013","07","Chiapas","069","Pijijiapan","007-8","013","1",315.8156
"5143","07051009-2003","07","Chiapas","051","Mapastepec","009-2","003","9",65.0261
"5144","07037004-0025","07","Chiapas","037","Huehuetán","004-0","025","29",42.8173
"5145","07037004-0012","07","Chiapas","037","Huehuetán","004-0","012","23",103.5274
"5146","07108019-0013","07","Chiapas","108","Villaflores","019-0","013","112",118.1776
"5147","07046011-A028","07","Chiapas","046","Jiquipilas","011-A","028","1",23.2666
"5148","07017021-1009","07","Chiapas","017","Cintalapa","021-1","009","119",488.9125
"5149","07027008-2016","07","Chiapas","027","Chiapa de Corzo","008-2","016","19",837.8412
"5150","07032005-9019","07","Chiapas","032","Escuintla","005-9","019","1",164.9727
"5151","07099013-2028","07","Chiapas","099","La Trinitaria","013-2","028","10",11.0061
"5152","07072002-0006","07","Chiapas","072","Pueblo Nuevo Solistahuacán","002-0","006","2",359.1418
"5153","07089027-8021","07","Chiapas","089","Tapachula","027-8","021","19",580.6919
"5154","07077002-7026","07","Chiapas","077","Salto de Agua","002-7","026","12",64.4221
"5155","07062004-3027","07","Chiapas","062","Ostuacán","004-3","027","3",48.4593
"5156","07016007-4010","07","Chiapas","016","Catazajá","007-4","010","36",491.8432
"5157","07017028-3001","07","Chiapas","017","Cintalapa","028-3","001","6",889.3314
"5158","07069002-5002","07","Chiapas","069","Pijijiapan","002-5","002","11",664.1399
"5159","07046007-3001","07","Chiapas","046","Jiquipilas","007-3","001","24",480.8604
"5160","07001004-8013","07","Chiapas","001","Acacoyagua","004-8","013","45",232.0091
"5161","07097019-5004","07","Chiapas","097","Tonalá","019-5","004","6",113.4675
"5162","07061018-8008","07","Chiapas","061","Ocozocoautla de Espinosa","018-8","008","6",1328.9974
"5163","07062010-9014","07","Chiapas","062","Ostuacán","010-9","014","3",219.325
"5164","07051003-5005","07","Chiapas","051","Mapastepec","003-5","005","254",3347.4027
"5165","07065014-9008","07","Chiapas","065","Palenque","014-9","008","5",422.4468
"5166","07027007-8006","07","Chiapas","027","Chiapa de Corzo","007-8","006","13",260.9087
"5167","07079005-5011","07","Chiapas","079","San Fernando","005-5","011","27",255.3447
"5168","07034005-3009","07","Chiapas","034","Frontera Comalapa","005-3","009","256",1030.4974
"5169","07106006-9006","07","Chiapas","106","Venustiano Carranza","006-9","006","653",2224.6592
"5170","07048008-2009","07","Chiapas","048","Juárez","008-2","009","10",309.3516
"5171","07107007-0010","07","Chiapas","107","Villa Corzo","007-0","010","5",142.9813
"5172","07093003-5011","07","Chiapas","093","Tenejapa","003-5","011","476",533.6329
"5173","07099015-1011","07","Chiapas","099","La Trinitaria","015-1","011","2",25.3272
"5174","07065007-9014","07","Chiapas","065","Palenque","007-9","014","41",63.011
"5175","07050008-0016","07","Chiapas","050","La Libertad","008-0","016","26",938.8655
"5176","07046010-5017","07","Chiapas","046","Jiquipilas","010-5","017","53",156.7326
"5177","07039003-0019","07","Chiapas","039","Huitiupán","003-0","019","19",18.7746
"5178","07089022-5017","07","Chiapas","089","Tapachula","022-5","017","46",602.4809
"5179","07089025-9017","07","Chiapas","089","Tapachula","025-9","017","26",128.5455
"5180","07107014-0020","07","Chiapas","107","Villa Corzo","014-0","020","20",101.0958
"5181","07071003-8023","07","Chiapas","071","Villa Comaltitlán","003-8","023","74",87.8452
"5182","07071004-2026","07","Chiapas","071","Villa Comaltitlán","004-2","026","66",145.8996
"5183","07071003-8032","07","Chiapas","071","Villa Comaltitlán","003-8","032","48",204.0138
"5184","07003003-8010","07","Chiapas","003","Acapetahua","003-8","010","50",147.8828
"5185","07099015-1001","07","Chiapas","099","La Trinitaria","015-1","001","33",816.1008
"5186","07069004-4002","07","Chiapas","069","Pijijiapan","004-4","002","137",1004.7176
"5187","07048005-9005","07","Chiapas","048","Juárez","005-9","005","6",238.0454
"5188","07019014-6010","07","Chiapas","019","Comitán de Domínguez","014-6","010","81",808.3121
"5189","07003003-8003","07","Chiapas","003","Acapetahua","003-8","003","9",566.4324
"5190","07065026-1003","07","Chiapas","065","Palenque","026-1","003","32",304.4966
"5191","07002005-A004","07","Chiapas","002","Acala","005-A","004","9",27.5334
"5192","07003007-6005","07","Chiapas","003","Acapetahua","007-6","005","1",96.7396
"5193","07059054-6002","07","Chiapas","059","Ocosingo","054-6","002","1",7706.9956
"5194","07097011-9005","07","Chiapas","097","Tonalá","011-9","005","16",526.3048
"5195","07065020-4002","07","Chiapas","065","Palenque","020-4","002","4",120.9689
"5196","07104002-6006","07","Chiapas","104","Tzimol","002-6","006","13",851.6147
"5197","07065003-0005","07","Chiapas","065","Palenque","003-0","005","58",775.5709
"5198","07074003-A013","07","Chiapas","074","Reforma","003-A","013","62",460.0031
"5199","07048001-0001","07","Chiapas","048","Juárez","001-0","001","40",920.4591
"5200","07092016-5008","07","Chiapas","092","Tecpatán","016-5","008","8",51.6948
"5201","07059024-5001","07","Chiapas","059","Ocosingo","024-5","001","128",556.3264
"5202","07080008-A001","07","Chiapas","080","Siltepec","008-A","001","27",1841.0744
"5203","07108027-5002","07","Chiapas","108","Villaflores","027-5","002","175",2110.2811
"5204","07017024-5003","07","Chiapas","017","Cintalapa","024-5","003","46",209.392
"5205","07099017-0012","07","Chiapas","099","La Trinitaria","017-0","012","2",290.1017
"5206","07046004-A003","07","Chiapas","046","Jiquipilas","004-A","003","114",173.2715
"5207","07089028-2003","07","Chiapas","089","Tapachula","028-2","003","55",346.1187
"5208","07099022-1003","07","Chiapas","099","La Trinitaria","022-1","003","4",478.7548
"5209","07039004-5004","07","Chiapas","039","Huitiupán","004-5","004","111",188.5711
"5210","07059069-2004","07","Chiapas","059","Ocosingo","069-2","004","1",330.1575
"5211","07108011-4012","07","Chiapas","108","Villaflores","011-4","012","12",11.4935
"5212","07094004-7001","07","Chiapas","094","Teopisca","004-7","001","235",296.8912
"5213","07019014-6005","07","Chiapas","019","Comitán de Domínguez","014-6","005","32",559.413
"5214","07065025-7007","07","Chiapas","065","Palenque","025-7","007","4",44.9259
"5215","07021002-1006","07","Chiapas","021","Copainalá","002-1","006","3",89.3886
"5216","07021003-6013","07","Chiapas","021","Copainalá","003-6","013","22",80.1126
"5217","07071004-2006","07","Chiapas","071","Villa Comaltitlán","004-2","006","37",213.713
"5218","07057004-3019","07","Chiapas","057","Motozintla","004-3","019","9",34.5861
"5219","07068002-8007","07","Chiapas","068","Pichucalco","002-8","007","13",1024.4514
"5220","07021004-0025","07","Chiapas","021","Copainalá","004-0","025","13",52.3391
"5221","07052017-4008","07","Chiapas","052","Las Margaritas","017-4","008","113",325.3513
"5222","07069002-5026","07","Chiapas","069","Pijijiapan","002-5","026","19",35.1271
"5223","07097016-1010","07","Chiapas","097","Tonalá","016-1","010","1",221.0134
"5224","07077011-6008","07","Chiapas","077","Salto de Agua","011-6","008","7",364.4876
"5225","07092003-8008","07","Chiapas","092","Tecpatán","003-8","008","8",90.9351
"5226","07059028-3009","07","Chiapas","059","Ocosingo","028-3","009","30",102.6169
"5227","07097008-7026","07","Chiapas","097","Tonalá","008-7","026","2",333.3863
"5228","07046012-4010","07","Chiapas","046","Jiquipilas","012-4","010","44",109.0419
"5229","07059033-4009","07","Chiapas","059","Ocosingo","033-4","009","25",1964.4445
"5230","07116006-5004","07","Chiapas","116","Marqués de Comillas","006-5","004","3",470.4783
"5231","07065025-7010","07","Chiapas","065","Palenque","025-7","010","125",1577.8886
"5232","07073002-8011","07","Chiapas","073","Rayón","002-8","011","33",54.0257
"5233","07061013-5012","07","Chiapas","061","Ocozocoautla de Espinosa","013-5","012","11",868.5754
"5234","07052026-3008","07","Chiapas","052","Las Margaritas","026-3","008","109",230.4042
"5235","07075006-0011","07","Chiapas","075","Las Rosas","006-0","011","28",209.2853
"5236","07069014-8012","07","Chiapas","069","Pijijiapan","014-8","012","1",831.4615
"5237","07009004-6014","07","Chiapas","009","Arriaga","004-6","014","24",288.3186
"5238","07108009-7014","07","Chiapas","108","Villaflores","009-7","014","26",262.1745
"5239","07106010-5013","07","Chiapas","106","Venustiano Carranza","010-5","013","139",194.3531
"5240","07059015-6008","07","Chiapas","059","Ocosingo","015-6","008","1",148.6489
"5241","07069016-7016","07","Chiapas","069","Pijijiapan","016-7","016","37",225.1909
"5242","07099013-2015","07","Chiapas","099","La Trinitaria","013-2","015","88",659.5656
"5243","07089030-A016","07","Chiapas","089","Tapachula","030-A","016","16",482.7038
"5244","07034005-3017","07","Chiapas","034","Frontera Comalapa","005-3","017","36",218.9233
"5245","07075006-0023","07","Chiapas","075","Las Rosas","006-0","023","72",192.0672
"5246","07099013-2024","07","Chiapas","099","La Trinitaria","013-2","024","1",9.4697
"5247","07005001-3034","07","Chiapas","005","Amatán","001-3","034","28",133.4324
"5248","07099010-9028","07","Chiapas","099","La Trinitaria","010-9","028","123",197.0952
"5249","07046006-9001","07","Chiapas","046","Jiquipilas","006-9","001","138",312.2716
"5250","07099023-6009","07","Chiapas","099","La Trinitaria","023-6","009","14",453.955
"5251","07017022-6017","07","Chiapas","017","Cintalapa","022-6","017","1",159.5346
"5252","07068005-1001","07","Chiapas","068","Pichucalco","005-1","001","35",535.0934
"5253","07107015-5008","07","Chiapas","107","Villa Corzo","015-5","008","28",60.9605
"5254","07106006-9001","07","Chiapas","106","Venustiano Carranza","006-9","001","111",326.8943
"5255","07059012-2002","07","Chiapas","059","Ocosingo","012-2","002","31",1432.7983
"5256","07069011-4004","07","Chiapas","069","Pijijiapan","011-4","004","9",558.791
"5257","07004006-9010","07","Chiapas","004","Altamirano","006-9","010","46",388.4514
"5258","07096008-A004","07","Chiapas","096","Tila","008-A","004","269",498.5691
"5259","07069011-4005","07","Chiapas","069","Pijijiapan","011-4","005","104",845.2946
"5260","07099007-7011","07","Chiapas","099","La Trinitaria","007-7","011","18",3203.3214
"5261","07081002-A005","07","Chiapas","081","Simojovel","002-A","005","85",159.3175
"5262","07081004-9022","07","Chiapas","081","Simojovel","004-9","022","37",372.4087
"5263","07092006-1008","07","Chiapas","092","Tecpatán","006-1","008","139",1870.8955
"5264","07021004-0009","07","Chiapas","021","Copainalá","004-0","009","193",965.0303
"5265","07064004-8001","07","Chiapas","064","Oxchuc","004-8","001","310",6318.8172
"5266","07075004-1001","07","Chiapas","075","Las Rosas","004-1","001","166",1104.9624
"5267","07020016-6010","07","Chiapas","020","La Concordia","016-6","010","7",669.643
"5268","07047002-8010","07","Chiapas","047","Jitotol","002-8","010","87",559.1403
"5269","07069007-8011","07","Chiapas","069","Pijijiapan","007-8","011","12",491.9678
"5270","07107014-0012","07","Chiapas","107","Villa Corzo","014-0","012","8",1030.3755
"5271","07071003-8029","07","Chiapas","071","Villa Comaltitlán","003-8","029","44",38.9878
"5272","07066001-9001","07","Chiapas","066","Pantelhó","001-9","001","237",704.601
"5273","07030003-5013","07","Chiapas","030","Chicomuselo","003-5","013","116",277.5554
"5274","07069011-4032","07","Chiapas","069","Pijijiapan","011-4","032","8",294.1469
"5275","07087006-1013","07","Chiapas","087","Suchiate","006-1","013","6",135.9527
"5276","07089028-2021","07","Chiapas","089","Tapachula","028-2","021","156",728.8052
"5277","07059049-5002","07","Chiapas","059","Ocosingo","049-5","002","214",13.4606
"5278","07027010-A022","07","Chiapas","027","Chiapa de Corzo","010-A","022","64",210.9887
"5279","07023003-0002","07","Chiapas","023","Chamula","003-0","002","76",88.422
"5280","07066002-3003","07","Chiapas","066","Pantelhó","002-3","003","149",219.8048
"5281","07089022-5002","07","Chiapas","089","Tapachula","022-5","002","20",203.919
"5282","07027008-2025","07","Chiapas","027","Chiapa de Corzo","008-2","025","29",512.2537
"5283","07015002-4027","07","Chiapas","015","Cacahoatán","002-4","027","238",316.8776
