"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"174","07003004-2008","07","Chiapas","003","Acapetahua","004-2","008","265",991.5423,0,51,178,639.1706,627.3988,14.9666762264151,14.0381139568345,0,0.192452830188679,0.671698113207547,0.864150943396226
"175","07003004-2009","07","Chiapas","003","Acapetahua","004-2","009","98",119.6035,0,8,58,72.4096,71.2752,7.32266326530612,11.7818206349206,0,0.0816326530612245,0.591836734693878,0.673469387755102
"176","07003004-2010","07","Chiapas","003","Acapetahua","004-2","010","3",322.3011,0,0,0,0,0,0,0,0,0,0,0
"177","07003004-2011","07","Chiapas","003","Acapetahua","004-2","011","149",1552.7001,0,68,62,631.3953,587.2423,41.6832241610738,42.4085147086466,0,0.456375838926175,0.416107382550336,0.87248322147651
"178","07003004-2012","07","Chiapas","003","Acapetahua","004-2","012","2",947.3744,0,0,2,947.3744,850.7025,947.3744,850.7025,0,0,1,1
"179","07003004-2013","07","Chiapas","003","Acapetahua","004-2","013","102",277.7704,0,19,36,143.8484,129.9181,8.16971764705882,7.87543924731183,0,0.186274509803922,0.352941176470588,0.53921568627451
"180","07003004-2014","07","Chiapas","003","Acapetahua","004-2","014","102",974.1628,0,30,55,561.6205,468.9553,38.202462745098,36.16306875,0,0.294117647058824,0.53921568627451,0.833333333333333
"181","07003004-2017","07","Chiapas","003","Acapetahua","004-2","017","4",33.733,0,1,0,0,0,0,0,0,0.25,0,0.25
"182","07003004-2018","07","Chiapas","003","Acapetahua","004-2","018","1",1.1948,0,0,0,0,0,0,0,0,0,0,0
"183","07003004-2019","07","Chiapas","003","Acapetahua","004-2","019","31",135.8938,0,10,16,68.8731,62.3939,13.1510129032258,10.56355,0,0.32258064516129,0.516129032258065,0.838709677419355
"184","07003004-2022","07","Chiapas","003","Acapetahua","004-2","022","31",69.1835,0,3,28,62.0178,57.5165,6.69517741935484,6.64546166666667,0,0.0967741935483871,0.903225806451613,1
"185","07003004-2023","07","Chiapas","003","Acapetahua","004-2","023","16",43.1446,0,0,11,32.5811,30.124,8.0896125,8.71925,0,0,0.6875,0.6875
"186","07003004-2024","07","Chiapas","003","Acapetahua","004-2","024","43",168.8825,0,3,21,82.4775,79.2095,11.7825,11.374,0,0.0697674418604651,0.488372093023256,0.558139534883721
"187","07003005-7001","07","Chiapas","003","Acapetahua","005-7","001","181",1456.9937,0,41,105,785.4534,713.2222,24.1490668508287,19.2366469565217,0,0.226519337016575,0.580110497237569,0.806629834254144
"188","07003005-7003","07","Chiapas","003","Acapetahua","005-7","003","29",1036.9472,0,12,2,71.5136,67.7947,71.5136,67.7947,0,0.413793103448276,0.0689655172413793,0.482758620689655
"189","07003005-7004","07","Chiapas","003","Acapetahua","005-7","004","1",751.7094,0,1,0,0,0,0,0,0,1,0,1
"190","07003005-7005","07","Chiapas","003","Acapetahua","005-7","005","28",146.6952,0,2,22,122.8188,110.0447,5.23911428571429,5.00203181818182,0,0.0714285714285714,0.785714285714286,0.857142857142857
"191","07003005-7006","07","Chiapas","003","Acapetahua","005-7","006","91",284.8222,0,0,78,275.2555,246.6488,6.25982857142857,3.41139220779221,0,0,0.857142857142857,0.857142857142857
"192","07003005-7007","07","Chiapas","003","Acapetahua","005-7","007","3",74.1347,0,3,0,0,0,0,0,0,1,0,1
"193","07003005-7008","07","Chiapas","003","Acapetahua","005-7","008","27",892.9934,0,15,8,96.4413,87.5337,66.1476592592593,21.7581,0,0.555555555555556,0.296296296296296,0.851851851851852
"194","07003005-7009","07","Chiapas","003","Acapetahua","005-7","009","39",653.1502,0,9,26,308.9014,282.3319,50.2423230769231,34.10533,0,0.230769230769231,0.666666666666667,0.897435897435897
"195","07003005-7011","07","Chiapas","003","Acapetahua","005-7","011","86",339.1385,0,0,78,305.8938,274.3857,7.88694186046512,6.47326363636364,0,0,0.906976744186046,0.906976744186046
