"","TERRENO_PROM_TOT_16.x","TERRENO_PROM_SEM_16.x","PCT_SUPSEM_16.x","CULTI_ESPE","CONCAT_ESPE","PCT_AGRICOLA.x","PCT_FORESTAL","PCT_PECUARIO","PCT_OCUPADO","ACTIVIDAD PRODUCTIVA","CONSERVADO","DEFORESTADA","DEGRADADA","REFORESTADO","SIN CAMBIO","ID_07","CVE_ENT_07","CVE_MUN_07","SUP_SC_07","SUP_SEMB_07","SHAPE_LENG_07","UP_PROM_TOTAL","UP_PROM_SEMB"
"32",147.7555,52.3734,0.177229950830934,"MAIZ","116_008-4_001_MAIZ",0.5,0,0,0.5,0,0,588.526,0,0,0,131,14,232,1177.06,10.2395,27517.3006754,1177.06,10.2395
"33",13.6714328671329,3.86357674418605,0.0849782781706677,"MAIZ","116_008-4_003_MAIZ",0.300699300699301,0.0034965034965035,0.339160839160839,0.643356643356643,2.393,1247.655,1057.168,945.558,12.511,600.409,483,105,1740,59291.7,1195.3203,374530.829799,36035.7912756598,27.5108582111437
"34",13.6714328671329,10.3800117647059,0.045130141974877,"FRIJOL","116_008-4_003_FRIJOL",0.0594405594405594,0.0034965034965035,0.339160839160839,0.402097902097902,2.393,1247.655,1057.168,945.558,12.511,600.409,483,105,1740,59291.7,1195.3203,374530.829799,36035.7912756598,27.5108582111437
"35",13.6714328671329,3.71044285714286,0.00664268594576952,"PALMA DE ACEITE","116_008-4_003_PALMA DE ACEITE",0.0244755244755245,0.0034965034965035,0.339160839160839,0.367132867132867,2.393,1247.655,1057.168,945.558,12.511,600.409,483,105,1740,59291.7,1195.3203,374530.829799,36035.7912756598,27.5108582111437
"36",11.2889786206897,2.41232142857143,0.0206319633449017,"PALMA DE ACEITE","116_008-4_004_PALMA DE ACEITE",0.096551724137931,0,0.393103448275862,0.489655172413793,0,3.965,945.594,722.202,0.04,0,676,140,2320,33436,1544.4652,334129.110416,14701.2253968254,50.6137523809524
"37",11.2889786206897,7.1966,0.00439647605027522,"MANGO","116_008-4_004_MANGO",0.00689655172413793,0,0.393103448275862,0.4,0,3.965,945.594,722.202,0.04,0,676,140,2320,33436,1544.4652,334129.110416,14701.2253968254,50.6137523809524
"38",11.2889786206897,3.83397741935484,0.0726086884009359,"MAIZ","116_008-4_004_MAIZ",0.213793103448276,0,0.393103448275862,0.606896551724138,0,3.965,945.594,722.202,0.04,0,676,140,2320,33436,1544.4652,334129.110416,14701.2253968254,50.6137523809524
"39",11.2889786206897,3.26831,0.0199664378176847,"LIMON","116_008-4_004_LIMON",0.0689655172413793,0,0.393103448275862,0.462068965517241,0,3.965,945.594,722.202,0.04,0,676,140,2320,33436,1544.4652,334129.110416,14701.2253968254,50.6137523809524
"40",34.6284,12.2743714285714,0.354459675542948,"MAIZ","116_008-4_007_MAIZ",1,0,0,1,0,22.244,600.519,342.578,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"41",20.8740201680672,7.4644,0.11418930789445,"MAIZ","116_008-4_008_MAIZ",0.319327731092437,0,0.176470588235294,0.495798319327731,37.876,329.048,521.818,1551.365,6.141,14.242,274,28,464,9891.08,398.0572,103926.2629328,620.155015873016,6.49980666666667
