"","CVE_CONCAT","SUP_TOTAL","SUP_TOTAL.1","F_TOTAL","P_TOTAL","TERRENOS_16.x","SUP_TOTAL_16.x","SUP_SEMB_16.x","TERRENO_PROM_TOT_16.x","TERRENO_PROM_SEM_16.x","PCT_SUPSEM_16.x","PCT_AGRICOLA.x","PCT_FORESTAL","PCT_PECUARIO","PCT_OCUPADO","SUP_TOTAL.2","F_TOTAL.1","P_TOTAL.1","TERRENOS_16.x.1","SUP_TOTAL_16.x.1","SUP_SEMB_16.x.1","TERRENO_PROM_TOT_16.x.1","TERRENO_PROM_SEM_16.x.1","PCT_SUPSEM_16.x.1","PCT_AGRICOLA.x.1","PCT_FORESTAL.1","PCT_PECUARIO.1","PCT_OCUPADO.1"
"34","116_011-6_007",1710.7889,1710.7889,36,83,185,1710.7889,24.3242,9.24750756756757,2.43242,0.0142181189040916,0.0540540540540541,0.194594594594595,0.448648648648649,0.697297297297297,1710.7889,36,83,185,1710.7889,24.3242,9.24750756756757,2.43242,0.0142181189040916,0.0540540540540541,0.194594594594595,0.448648648648649,0.697297297297297
"35","116_011-6_008",1769.5916,1769.5916,0,0,35,1769.5916,416.5216,50.55976,18.9328,0.235377247495976,0.628571428571429,0,0,0.628571428571429,1769.5916,0,0,35,1769.5916,416.5216,50.55976,18.9328,0.235377247495976,0.628571428571429,0,0,0.628571428571429
"36","116_011-6_009",4719.2142,4719.2142,0,38,90,4719.2142,20.9562,52.4357133333333,6.9854,0.00444061216801729,0.0333333333333333,0,0.422222222222222,0.455555555555556,4719.2142,0,38,90,4719.2142,20.9562,52.4357133333333,6.9854,0.00444061216801729,0.0333333333333333,0,0.422222222222222,0.455555555555556
"37","116_011-6_010",185.1192,185.1192,0,0,0,0,0,0,0,0,0,0,0,0,185.1192,0,0,0,0,0,0,0,0,0,0,0,0
"38","116_011-6_011",111.5856,111.5856,0,0,63,111.5856,17.5784,1.7712,0.6278,0.157532871625013,0.444444444444444,0,0,0.444444444444444,111.5856,0,0,63,111.5856,17.5784,1.7712,0.6278,0.157532871625013,0.444444444444444,0,0,0.444444444444444
"39","116_011-6_012",4726.4592,4726.4592,37,89,230,4726.4592,58.0215,20.5498226086957,1.813171875,0.0122758914326395,0.139130434782609,0.160869565217391,0.38695652173913,0.68695652173913,4726.4592,37,89,230,4726.4592,58.0215,20.5498226086957,1.813171875,0.0122758914326395,0.139130434782609,0.160869565217391,0.38695652173913,0.68695652173913
"40","116_011-6_013",234.825,234.825,0,7,72,234.825,5.3995,3.26145833333333,1.0799,0.0229937187267114,0.0694444444444444,0,0.0972222222222222,0.166666666666667,234.825,0,7,72,234.825,5.3995,3.26145833333333,1.0799,0.0229937187267114,0.0694444444444444,0,0.0972222222222222,0.166666666666667
"41","116_012-0_001",1027.5454,1027.5454,0,0,14,1027.5454,364.224,73.3961,26.016,0.354460250612771,1,0,0,1,1027.5454,0,0,14,1027.5454,364.224,73.3961,26.016,0.354460250612771,1,0,0,1
"42","116_012-0_002",818.2993,818.2993,0,6,40,818.2993,196.9728,20.4574825,8.2072,0.240709970056188,0.6,0,0.15,0.75,818.2993,0,6,40,818.2993,196.9728,20.4574825,8.2072,0.240709970056188,0.6,0,0.15,0.75
"43","116_012-0_004",5285.6287,5285.6287,0,8,256,5285.6287,14.2738,20.646987109375,2.85476,0.00270049237472924,0.01953125,0,0.03125,0.05078125,5285.6287,0,8,256,5285.6287,14.2738,20.646987109375,2.85476,0.00270049237472924,0.01953125,0,0.03125,0.05078125
"44","116_012-0_005",1304.396,1304.396,0,0,33,1304.396,215.8155,39.5271515151515,14.3877,0.165452439289909,0.454545454545455,0,0,0.454545454545455,1304.396,0,0,33,1304.396,215.8155,39.5271515151515,14.3877,0.165452439289909,0.454545454545455,0,0,0.454545454545455
